Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,Follow_MLS_Since,Why_Follow_MLS,MLS_Fan_Time,Favorite_MLS_team_ and_why,Favorite_Players,Watch_MLS games,Watch_MLS games_Others,MLS_Ticket_Plan,MLS_Season_Ticket_Price,MLS_Monthly_Ticket_Price,MLS_Single_Game_Ticket_Price,MLS_Ticket_Plan_Others,MLS_online_livestream_plan ,MLS_online_livestream_Season_Payment_Price,MLS_online_livestream_Monthly_Payment_Price,MLS_online_livestream_Single_Game_Payment_Price,MLS_online_livestream_plan_Other_Price,MLS_Improvements,MLS_Improvements.1,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income,Additional_Comments,Follow_Sports_Dummy,All_Watching_Source,",",",go to the court/stadium..., etc.,watch tv",",go to the court/stadium..., etc.,watch tv,watch online livestreams",",other, please specify",",watch online livestreams",",watch tv",",watch tv,other, please specify",",watch tv,watch online livestreams","go to the court/stadium..., etc.,go to the court/stadium..., etc.","go to the court/stadium..., etc.,watch tv,","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch online livestreams","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch tv","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch tv,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch online livestreams,go to the court/stadium..., etc.,watch tv","go to the court/stadium..., etc.,watch tv,watch online livestreams,go to the court/stadium..., etc.,watch tv,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch online livestreams,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch tv","go to the court/stadium..., etc.,watch tv,watch tv,watch online livestreams","other, please specify,","watch online livestreams,","watch online livestreams,watch online livestreams","watch online livestreams,watch tv","watch online livestreams,watch tv,watch online livestreams","watch tv,go to the court/stadium..., etc.,watch tv","watch tv,go to the court/stadium..., etc.,watch tv,watch online livestreams","watch tv,watch online livestreams,","watch tv,watch online livestreams,watch online livestreams","watch tv,watch online livestreams,watch tv","watch tv,watch online livestreams,watch tv,watch online livestreams","watch tv,watch tv","watch tv,watch tv,watch online livestreams"
100,149,0.899999976,"Basketball,Baseball,Others(Please specify, and the answer can be more than one sport)",FOOTBALL,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,"online news websites,social media,word of mouth (friends, family)",,1.0,2007.0,New Team,4.0,Houston Dynamo,,watch online livestreams,,,,,,,Others,,,,Fubo TV,"Lower ticket prices, Enhanced stadium amenities and services, Better marketing and promotion of MLS",,,,,,,,"MLB,NBA,NFL",,"watch tv,watch online livestreams",,,,,,,Monthly Payment,,50,,,2,1,Other,Latino,Employed full-time,,2.0,,1,"watch online livestreams,watch tv,watch online livestreams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,113,0.899999976,Baseball,,,,,,,,,,,4.0,5.0,5.0,4.0,3.0,"online news websites,social media",,0.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,,Rooting for local teams,,MLB,,"go to the court/stadium..., etc.,watch tv,watch online livestreams",,Single Game Ticket,,,20,,Others,,,,0,2,1,Asian,,Unemployed,,3.0,,1,",go to the court/stadium..., etc.,watch tv,watch online livestreams",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,159,0.899999976,"Basketball,Baseball,Others(Please specify, and the answer can be more than one sport)",Football,,,,,,,,,,4.0,4.0,5.0,2.0,2.0,never,,0.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,The fast-paced nature of MLS games,,"MLB,NBA,NHL,NFL",,"go to the court/stadium..., etc.,watch tv,watch online livestreams",,Single Game Ticket,,,20,,Monthly Payment,,15,,,2,1,White or Caucasian,,Employed full-time,,6.0,,1,",go to the court/stadium..., etc.,watch tv,watch online livestreams",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,123,0.899999976,No,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,,Marketing and advertising campaigns,,"MLB,NBA,NHL,NFL,PGA,WNBA",,"go to the court/stadium..., etc.,watch tv",,Single Game Ticket,,,100,,,,,,,2,0,White or Caucasian,,Employed full-time,,6.0,,0,",go to the court/stadium..., etc.,watch tv",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,127,0.899999976,"Basketball,Baseball,Ice Hockey,Golf,Tennis",,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,never,,0.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,Other (please specify),no internets in soccer,"MLB,NBA,NHL,NFL,PGA",,"go to the court/stadium..., etc.,watch tv",,Season Ticket,3000.0,,,,,,,,,4,1,White or Caucasian,,Employed full-time,,5.0,,1,",go to the court/stadium..., etc.,watch tv",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,191,0.899999976,"Basketball,Others(Please specify, and the answer can be more than one sport)",Football (NFL),,,,,,,,,,5.0,5.0,5.0,4.0,4.0,"online news websites,social media,word of mouth (friends, family)",,0.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,"NFL, NBA","Rooting for local teams,Marketing and advertising campaigns,The fast-paced nature of MLS games",,"NBA,NFL",,watch tv,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,6.0,,1,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,137,0.899999976,"Basketball,Tennis,Soccer",,,,,,,,,,,4.0,4.0,4.0,3.0,3.0,"television broadcasts,word of mouth (friends, family)",,0.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,"Pure love of soccer,Rooting for local teams,The fast-paced nature of MLS games,The diverse composition of MLS teams",,NFL,,watch tv,,,,,,,,,,,,4,1,White or Caucasian,,Employed full-time,,6.0,,1,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,147,0.899999976,No,,4.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,3.0,,Rooting for local teams,,None,,,,,,,,,,,,,,3,0,White or Caucasian,,Employed part-time,,3.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,191,0.800000012,"Others(Please specify, and the answer can be more than one sport)","football, formula 1, alpine skiing",,,,,,,,,,4.0,5.0,4.0,4.0,1.0,television broadcasts,,0.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,nfl,Other (please specify),not interested,"NHL,NFL,Other, please specify",formula 1,watch tv,,,,,,,,,,,,5,1,White or Caucasian,,Employed full-time,,1.0,it is too expensive to be a fan of professional sports,1,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,103,0.899999976,"Basketball,Baseball,Tennis,Soccer",,,,,,,,,,,4.0,4.0,4.0,5.0,4.0,"television broadcasts,online news websites,social media",,1.0,2015.0,I moved to Kansas City,3.0,Sporting KC,Zusi ,watch tv,,,,,,,,,,,,"Lower ticket prices, Enhanced stadium amenities and services, More interactive fan engagement activities, Better marketing and promotion of MLS, Increased accessibility to watch games (TV, online streaming)",,,,,,,,"MLB,NBA,NFL",,watch tv,,,,,,,,,,,,3,1,Asian,,Employed full-time,,6.0,,1,"watch tv,watch tv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
