Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income
100,194,0.899999976,,,4,1,3,1,1,5,3,3,3,,,,,,,,0,5,1,1,,Other (please specify),I am not at all interested in MLS,,,,,,,,,,,,,,,6,1,White or Caucasian,,Retired,,1
100,121,0.899999976,,,2,3,2,1,4,3,4,2,3,,,,,,,,0,5,1,1,,Other (please specify),Nothing. I dont enjoy the sport,NBA,,Watch TV,,,,,,,,,,,,3,0,White or Caucasian,,Employed full-time,,2
100,110,0.899999976,,,4,5,2,3,2,5,4,4,4,,,,,,,,0,5,4,1,,Other (please specify),storylines of certain players,,,,,,,,,,,,,,,2,0,Asian,,Employed full-time,,2
100,93,0.899999976,,,2,3,1,1,1,5,4,1,1,,,,,,,,0,5,2,1,,Other (please specify),Friends getting me to,,,,,,,,,,,,,,,2,1,White or Caucasian,,Other (please specify),freelancer,1
100,86,0.899999976,,,1,5,2,2,1,1,1,1,1,,,,,,,,0,3,1,5,workout,"Rooting for local teams,The fast-paced nature of MLS games",,NFL,,Watch TV,,,,,,,,,,,,3,0,White or Caucasian,,Employed part-time,,6
100,88,0.899999976,,,4,5,1,1,4,5,5,1,1,,,,,,,,0,5,2,1,,Rooting for local teams,,,,,,,,,,,,,,,,2,1,White or Caucasian,,Employed full-time,,3
100,130,0.899999976,,,1,2,1,1,4,1,1,1,1,,,,,,,,0,5,5,1,,Marketing and advertising campaigns,,,,,,,,,,,,,,,,4,0,White or Caucasian,,Employed part-time,,1
100,682,0.899999976,,,3,4,4,4,4,4,3,4,4,,,,,,,,0,4,4,1,,Rooting for local teams,,,,,,,,,,,,,,,,4,0,White or Caucasian,,Employed full-time,,1
100,279,0.899999976,,,1,5,1,1,3,1,5,1,5,,,,,,,,0,5,1,5,I just don't find sports that important with the problems in the world today.,Pure love of soccer,,,,,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,4
100,378,0.800000012,,,4,5,1,4,5,5,5,3,1,,,,,,,,0,5,1,1,,"Rooting for local teams,The diverse composition of MLS teams",,,,,,,,,,,,,,,,2,Non-binary / third gender,Black or African American,,Employed full-time,,4
